Date,Sales,Year,Month,Day,DayOfWeek,Is_Weekend
2020-01-01,234.93428306022466,2020,1,1,2,0
2020-01-02,222.2347139765763,2020,1,2,3,0
2020-01-03,237.95377076201385,2020,1,3,4,0
2020-01-04,255.46059712816052,2020,1,4,5,1
2020-01-05,220.3169325055333,2020,1,5,6,1
2020-01-06,220.3172608610164,2020,1,6,0,0
2020-01-07,256.58425631014785,2020,1,7,1,0
2020-01-08,240.34869458305818,2020,1,8,2,0
2020-01-09,215.61051228130097,2020,1,9,3,0
2020-01-10,235.8512008717193,2020,1,10,4,0
2020-01-11,215.73164614375077,2020,1,11,5,1
2020-01-12,215.68540492859486,2020,1,12,6,1
2020-01-13,229.83924543132068,2020,1,13,0,0
2020-01-14,186.73439510684403,2020,1,14,1,0
2020-01-15,190.50164334973934,2020,1,15,2,0
2020-01-16,213.75424941518054,2020,1,16,3,0
2020-01-17,204.74337759331152,2020,1,17,4,0
2020-01-18,231.28494665190547,2020,1,18,5,1
2020-01-19,206.83951848957577,2020,1,19,6,1
2020-01-20,196.75392597329417,2020,1,20,0,0
2020-01-21,254.31297537843108,2020,1,21,1,0
2020-01-22,220.4844739902693,2020,1,22,2,0
2020-01-23,226.35056409375846,2020,1,23,3,0
2020-01-24,196.50503627573087,2020,1,24,4,0
2020-01-25,214.11234550949635,2020,1,25,5,1
2020-01-26,227.21845179419734,2020,1,26,6,1
2020-01-27,201.98012845155395,2020,1,27,0,0
2020-01-28,232.51396036691344,2020,1,28,1,0
2020-01-29,212.9872262016239,2020,1,29,2,0
2020-01-30,219.16612500413447,2020,1,30,3,0
2020-01-31,212.96586775541206,2020,1,31,4,0
2020-02-01,280.34683387940066,2020,2,1,5,1
2020-02-02,243.03132569446325,2020,2,2,6,1
2020-02-03,222.14705161010392,2020,2,3,0,0
2020-02-04,259.7521684312857,2020,2,4,1,0
2020-02-05,218.8843971898015,2020,2,5,2,0
2020-02-06,247.47854208931705,2020,2,6,3,0
2020-02-07,204.1078677116264,2020,2,7,4,0
2020-02-08,216.7375492112533,2020,2,8,5,1
2020-02-09,247.2384949066044,2020,2,9,6,1
2020-02-10,258.07060178913014,2020,2,10,0,0
2020-02-11,246.72863581302133,2020,2,11,1,0
2020-02-12,240.98830454145713,2020,2,12,2,0
2020-02-13,237.27919627743614,2020,2,13,3,0
2020-02-14,213.73083038187337,2020,2,14,4,0
2020-02-15,228.90438602132775,2020,2,15,5,1
2020-02-16,234.08849477002616,2020,2,16,6,1
2020-02-17,264.44371471360023,2020,2,17,0,0
2020-02-18,250.17363598059114,2020,2,18,1,0
2020-02-19,208.04046708196725,2020,2,19,2,0
2020-02-20,249.78294957711782,2020,2,20,3,0
2020-02-21,235.59962458089558,2020,2,21,4,0
2020-02-22,229.76283018310275,2020,2,22,5,1
2020-02-23,255.53479596603927,2020,2,23,6,1
2020-02-24,263.92126063914094,2020,2,24,0,0
2020-02-25,261.9268725715459,2020,2,25,1,0
2020-02-26,226.51691972476914,2020,2,26,2,0
2020-02-27,237.11702267219763,2020,2,27,3,0
2020-02-28,249.9265388172932,2020,2,28,4,0
2020-02-29,262.8121727316691,2020,2,29,5,1
2020-03-01,240.4165152430942,2020,3,1,6,1
2020-03-02,246.28682046672367,2020,3,2,0,0
2020-03-03,227.87330051987942,2020,3,3,1,0
2020-03-04,226.0758675183866,2020,3,4,2,0
2020-03-05,266.25051644788397,2020,3,5,3,0
2020-03-06,277.1248005714165,2020,3,6,4,0
2020-03-07,248.55979756839332,2020,3,7,5,1
2020-03-08,270.07065795784047,2020,3,8,6,1
2020-03-09,257.23272050095267,2020,3,9,0,0
2020-03-10,237.0976049078975,2020,3,10,1,0
2020-03-11,257.2279121101683,2020,3,11,2,0
2020-03-12,280.76073132931936,2020,3,12,3,0
2020-03-13,249.28347921780096,2020,3,13,4,0
2020-03-14,281.29287311628013,2020,3,14,5,1
2020-03-15,197.6050979182051,2020,3,15,6,1
2020-03-16,266.43805008750445,2020,3,16,0,0
2020-03-17,251.74094136476342,2020,3,17,1,0
2020-03-18,244.01985299068264,2020,3,18,2,0
2020-03-19,251.83521553071006,2020,3,19,3,0
2020-03-20,210.24862170798215,2020,3,20,4,0
2020-03-21,245.60656224324975,2020,3,21,5,1
2020-03-22,257.1422514302349,2020,3,22,6,1
2020-03-23,279.5578808948303,2020,3,23,0,0
2020-03-24,239.63459563452705,2020,3,24,1,0
2020-03-25,233.83012794213624,2020,3,25,2,0
2020-03-26,239.96485912830926,2020,3,26,3,0
2020-03-27,268.3080423540415,2020,3,27,4,0
2020-03-28,256.5750221931937,2020,3,28,5,1
2020-03-29,239.40479592465923,2020,3,29,6,1
2020-03-30,260.2653486622671,2020,3,30,0,0
2020-03-31,251.9415509869608,2020,3,31,1,0
2020-04-01,262.6741699998797,2020,4,1,2,0
2020-04-02,229.26020831167492,2020,4,2,3,0
2020-04-03,236.74802725726659,2020,4,3,4,0
2020-04-04,235.4591071265788,2020,4,4,5,1
2020-04-05,214.0309712265796,2020,4,5,6,1
2020-04-06,249.22367573051346,2020,4,6,0,0
2020-04-07,248.52237563281975,2020,4,7,1,0
2020-04-08,243.40353932207117,2020,4,8,2,0
2020-04-09,238.609527521719,2020,4,9,3,0
2020-04-10,214.99385534821366,2020,4,10,4,0
2020-04-11,234.8883637339148,2020,4,11,5,1
2020-04-12,236.44697985868657,2020,4,12,6,1
2020-04-13,227.25572480478957,2020,4,13,0,0
2020-04-14,240.07555595590176,2020,4,14,1,0
2020-04-15,251.38228732551272,2020,4,15,2,0
2020-04-16,281.02498821343255,2020,4,16,3,0
2020-04-17,246.79282644585874,2020,4,17,4,0
2020-04-18,248.45227800367724,2020,4,18,5,1
2020-04-19,241.81235187389862,2020,4,19,6,1
2020-04-20,204.92584588324112,2020,4,20,0,0
2020-04-21,242.7709926802376,2020,4,21,1,0
2020-04-22,244.50587438804249,2020,4,22,2,0
2020-04-23,292.5661124389277,2020,4,23,3,0
2020-04-24,239.45405089359951,2020,4,24,4,0
2020-04-25,249.3322170358942,2020,4,25,5,1
2020-04-26,242.60703479511707,2020,4,26,6,1
2020-04-27,219.92770943683132,2020,4,27,0,0
2020-04-28,266.15772647952235,2020,4,28,1,0
2020-04-29,258.3399308429574,2020,4,29,2,0
2020-04-30,259.1219091300829,2020,4,30,3,0
2020-05-01,206.81225090410524,2020,5,1,4,0
2020-05-02,253.055886218722,2020,5,2,5,1
2020-05-03,196.9629787441544,2020,5,3,6,1
2020-05-04,236.73714187600544,2020,5,4,0,0
2020-05-05,268.8091125161996,2020,5,5,1,0
2020-05-06,205.18927349738627,2020,5,6,2,0
2020-05-07,213.6740454079446,2020,5,7,3,0
2020-05-08,226.99302730175285,2020,5,8,4,0
2020-05-09,214.93048691767603,2020,5,9,5,1
2020-05-10,193.98673137867738,2020,5,10,6,1
2020-05-11,226.3712594961206,2020,5,11,0,0
2020-05-12,203.75392572547793,2020,5,12,1,0
2020-05-13,234.47184861270367,2020,5,13,2,0
2020-05-14,206.61151531532397,2020,5,14,3,0
2020-05-15,255.99868810035082,2020,5,15,4,0
2020-05-16,209.3349341532753,2020,5,16,5,1
2020-05-17,218.5587696758865,2020,5,17,6,1
2020-05-18,241.27034434739343,2020,5,18,0,0
2020-05-19,200.38271367132091,2020,5,19,1,0
2020-05-20,229.54919869208263,2020,5,20,2,0
2020-05-21,251.1428550856486,2020,5,21,3,0
2020-05-22,192.85033530877547,2020,5,22,4,0
2020-05-23,228.6926771706461,2020,5,23,5,1
2020-05-24,230.1976558849685,2020,5,24,6,1
2020-05-25,240.63645743554625,2020,5,25,0,0
2020-05-26,200.26098578243838,2020,5,26,1,0
2020-05-27,198.5908677383145,2020,5,27,2,0
2020-05-28,235.43883131233798,2020,5,28,3,0
2020-05-29,230.93969346466375,2020,5,29,4,0
2020-05-30,230.00985700691757,2020,5,30,5,1
2020-05-31,231.92896418993953,2020,5,31,6,1
2020-06-01,186.3995055684302,2020,6,1,0,0
2020-06-02,204.64507394322007,2020,6,2,1,0
2020-06-03,205.86144946597364,2020,6,3,2,0
2020-06-04,185.71297163947264,2020,6,4,3,0
2020-06-05,237.31549022289514,2020,6,5,4,0
2020-06-06,209.47665841823576,2020,6,6,5,1
2020-06-07,176.17393005594704,2020,6,7,6,1
2020-06-08,213.1310721726766,2020,6,8,0,0
2020-06-09,180.50636659545358,2020,6,9,1,0
2020-06-10,215.74169207484903,2020,6,10,2,0
2020-06-11,223.17191158014808,2020,6,11,3,0
2020-06-12,183.5863536329658,2020,6,12,4,0
2020-06-13,219.26752258488642,2020,6,13,5,1
2020-06-14,208.25561853872998,2020,6,14,6,1
2020-06-15,216.4412031998898,2020,6,15,0,0
2020-06-16,237.93585965307895,2020,6,16,1,0
2020-06-17,195.0922376799426,2020,6,17,2,0
2020-06-18,184.9252767128502,2020,6,18,3,0
2020-06-19,182.20971140748952,2020,6,19,4,0
2020-06-20,183.68379430069123,2020,6,20,5,1
2020-06-21,198.4579658117179,2020,6,21,6,1
2020-06-22,206.82303949633288,2020,6,22,0,0
2020-06-23,205.5338159866004,2020,6,23,1,0
2020-06-24,216.54366498072048,2020,6,24,2,0
2020-06-25,200.26003783755814,2020,6,25,3,0
2020-06-26,229.07068154314635,2020,6,26,4,0
2020-06-27,194.70686333524088,2020,6,27,5,1
2020-06-28,254.40338333179238,2020,6,28,6,1
2020-06-29,212.51334695530014,2020,6,29,0,0
2020-06-30,182.85684887167434,2020,6,30,1,0
2020-07-01,153.58215003877774,2020,7,1,2,0
2020-07-02,184.6494483048637,2020,7,2,3,0
2020-07-03,170.530744293483,2020,7,3,4,0
2020-07-04,189.28000988184183,2020,7,4,5,1
2020-07-05,184.4647524914709,2020,7,5,6,1
2020-07-06,173.54342174686255,2020,7,6,0,0
2020-07-07,158.0641256386319,2020,7,7,1,0
2020-07-08,144.7030555062827,2020,7,8,2,0
2020-07-09,166.06970095865958,2020,7,9,3,0
2020-07-10,192.12797588646944,2020,7,10,4,0
2020-07-11,179.2818748826041,2020,7,11,5,1
2020-07-12,150.08522442576023,2020,7,12,6,1
2020-07-13,178.46361851702363,2020,7,13,0,0
2020-07-14,182.70634759457673,2020,7,14,1,0
2020-07-15,157.32285127597734,2020,7,15,2,0
2020-07-16,178.07450211891054,2020,7,16,3,0
2020-07-17,176.16417436892,2020,7,17,4,0
2020-07-18,152.14059404338752,2020,7,18,5,1
2020-07-19,182.15574720696566,2020,7,19,6,1
2020-07-20,186.2156905273647,2020,7,20,0,0
2020-07-21,196.66102486350553,2020,7,21,1,0
2020-07-22,196.07604104069804,2020,7,22,2,0
2020-07-23,147.44661264085818,2020,7,23,3,0
2020-07-24,156.24349920169755,2020,7,24,4,0
2020-07-25,185.3007053441732,2020,7,25,5,1
2020-07-26,185.2757190182442,2020,7,26,6,1
2020-07-27,185.30095372612095,2020,7,27,0,0
2020-07-28,252.05462981309444,2020,7,28,1,0
2020-07-29,186.41781021386333,2020,7,29,2,0
2020-07-30,197.71131280361197,2020,7,30,3,0
2020-07-31,194.08003526986406,2020,7,31,4,0
2020-08-01,169.72655483689402,2020,8,1,5,1
2020-08-02,150.39334491797118,2020,8,2,6,1
2020-08-03,171.87811422064343,2020,8,3,0,0
2020-08-04,141.24222552002664,2020,8,4,1,0
2020-08-05,151.9623576759779,2020,8,5,2,0
2020-08-06,146.991458854196,2020,8,6,3,0
2020-08-07,158.33621259850452,2020,8,7,4,0
2020-08-08,202.99190114424823,2020,8,8,5,1
2020-08-09,119.35342595894312,2020,8,9,6,1
2020-08-10,170.42393361826834,2020,8,10,0,0
2020-08-11,124.44441238698505,2020,8,11,1,0
2020-08-12,147.2600924949894,2020,8,12,2,0
2020-08-13,178.4777417501254,2020,8,13,3,0
2020-08-14,157.98433019268734,2020,8,14,4,0
2020-08-15,135.14383425219197,2020,8,15,5,1
2020-08-16,142.3926556255787,2020,8,16,6,1
2020-08-17,170.29068478947158,2020,8,17,0,0
2020-08-18,142.09139717643535,2020,8,18,1,0
2020-08-19,161.0279016024176,2020,8,19,2,0
2020-08-20,157.61016660885434,2020,8,20,3,0
2020-08-21,143.66672285866173,2020,8,21,4,0
2020-08-22,199.5776115972846,2020,8,22,5,1
2020-08-23,169.3771102571383,2020,8,23,6,1
2020-08-24,116.19587807762593,2020,8,24,0,0
2020-08-25,160.42781610616663,2020,8,25,1,0
2020-08-26,143.46300051541033,2020,8,26,2,0
2020-08-27,173.74739650670256,2020,8,27,3,0
2020-08-28,140.84831504212406,2020,8,28,4,0
2020-08-29,154.4040009814401,2020,8,29,5,1
2020-08-30,166.7984753903872,2020,8,30,6,1
2020-08-31,174.0138336941805,2020,8,31,0,0
2020-09-01,125.99407185888447,2020,9,1,1,0
2020-09-02,143.30997528318102,2020,9,2,2,0
2020-09-03,140.50109377678086,2020,9,3,3,0
2020-09-04,136.93341534852576,2020,9,4,4,0
2020-09-05,185.30908480562192,2020,9,5,5,1
2020-09-06,158.0996342192191,2020,9,6,6,1
2020-09-07,124.78232091329909,2020,9,7,0,0
2020-09-08,168.35723894109552,2020,9,8,1,0
2020-09-09,192.44312394025266,2020,9,9,2,0
2020-09-10,170.64930521102295,2020,9,10,3,0
2020-09-11,119.61260068091974,2020,9,11,4,0
2020-09-12,140.31531854267496,2020,9,12,5,1
2020-09-13,175.33822298373246,2020,9,13,6,1
2020-09-14,135.84661068762438,2020,9,14,0,0
2020-09-15,158.87638856292457,2020,9,15,1,0
2020-09-16,165.49268106858673,2020,9,16,2,0
2020-09-17,131.46139056843833,2020,9,17,3,0
2020-09-18,148.809492878764,2020,9,18,4,0
2020-09-19,85.17465319861854,2020,9,19,5,1
2020-09-20,129.5122471733142,2020,9,20,6,1
2020-09-21,144.9486369721368,2020,9,21,0,0
2020-09-22,125.04433636070301,2020,9,22,1,0
2020-09-23,182.64822607863272,2020,9,23,2,0
2020-09-24,121.39717244078734,2020,9,24,3,0
2020-09-25,141.19911026606033,2020,9,25,4,0
2020-09-26,152.61481154572184,2020,9,26,5,1
2020-09-27,178.82546578132232,2020,9,27,6,1
2020-09-28,121.2827569764112,2020,9,28,0,0
2020-09-29,173.26327504309918,2020,9,29,1,0
2020-09-30,150.20466122039173,2020,9,30,2,0
2020-10-01,137.068556789819,2020,10,1,3,0
2020-10-02,165.94079929604345,2020,10,2,4,0
2020-10-03,160.67992372224745,2020,10,3,5,1
2020-10-04,144.69439226760215,2020,10,4,6,1
2020-10-05,158.09477151057843,2020,10,5,0,0
2020-10-06,148.99245787354283,2020,10,6,1,0
2020-10-07,158.969076715803,2020,10,7,2,0
2020-10-08,169.94134330119897,2020,10,8,3,0
2020-10-09,188.41906613368508,2020,10,9,4,0
2020-10-10,131.94241983424106,2020,10,10,5,1
2020-10-11,199.3593973039034,2020,10,11,6,1
2020-10-12,117.656973820328,2020,10,12,0,0
2020-10-13,153.66302791006638,2020,10,13,1,0
2020-10-14,168.46507394046958,2020,10,14,2,0
2020-10-15,162.3185671654787,2020,10,15,3,0
2020-10-16,144.24473941436617,2020,10,16,4,0
2020-10-17,152.53628480363255,2020,10,17,5,1
2020-10-18,146.8387111176014,2020,10,18,6,1
2020-10-19,144.91143467189383,2020,10,19,0,0
2020-10-20,173.69077175119855,2020,10,20,1,0
2020-10-21,163.839039530079,2020,10,21,2,0
2020-10-22,142.84053790556496,2020,10,22,3,0
2020-10-23,174.69072731944306,2020,10,23,4,0
2020-10-24,162.84472022831022,2020,10,24,5,1
2020-10-25,172.95597218755725,2020,10,25,6,1
2020-10-26,169.2913066492503,2020,10,26,0,0
2020-10-27,140.1188295923366,2020,10,27,1,0
2020-10-28,145.49510900683865,2020,10,28,2,0
2020-10-29,171.6446019132433,2020,10,29,3,0
2020-10-30,168.90613511944736,2020,10,30,4,0
2020-10-31,156.2806979314951,2020,10,31,5,1
2020-11-01,177.3465476661756,2020,11,1,6,1
2020-11-02,200.55329791576847,2020,11,2,0,0
2020-11-03,163.16857222328338,2020,11,3,1,0
2020-11-04,185.94194762340072,2020,11,4,2,0
2020-11-05,170.9561469513221,2020,11,5,3,0
2020-11-06,170.64637593545558,2020,11,6,4,0
2020-11-07,196.97553703974378,2020,11,7,5,1
2020-11-08,191.50832697976057,2020,11,8,6,1
2020-11-09,191.27019272001274,2020,11,9,0,0
2020-11-10,201.10957614308654,2020,11,10,1,0
2020-11-11,175.42007683265516,2020,11,11,2,0
2020-11-12,188.63905942589926,2020,11,12,3,0
2020-11-13,168.79466486813084,2020,11,13,4,0
2020-11-14,181.4833270497688,2020,11,14,5,1
2020-11-15,172.39713891264628,2020,11,15,6,1
2020-11-16,176.93991929985432,2020,11,16,0,0
2020-11-17,186.90314050873823,2020,11,17,1,0
2020-11-18,158.63558633533052,2020,11,18,2,0
2020-11-19,216.84774551370919,2020,11,19,3,0
2020-11-20,154.87965237000594,2020,11,20,4,0
2020-11-21,150.71622774424532,2020,11,21,5,1
2020-11-22,198.16221747000134,2020,11,22,6,1
2020-11-23,190.83325387925868,2020,11,23,0,0
2020-11-24,187.48239634104308,2020,11,24,1,0
2020-11-25,187.56691018528556,2020,11,25,2,0
2020-11-26,174.75506454306168,2020,11,26,3,0
2020-11-27,157.05491257028334,2020,11,27,4,0
2020-11-28,176.5160911638745,2020,11,28,5,1
2020-11-29,161.45676576975774,2020,11,29,6,1
2020-11-30,194.502394668355,2020,11,30,0,0
2020-12-01,197.05885236995724,2020,12,1,1,0
2020-12-02,183.49005606414977,2020,12,2,2,0
2020-12-03,193.57228316694014,2020,12,3,3,0
2020-12-04,208.2586290855125,2020,12,4,4,0
2020-12-05,188.72550894392052,2020,12,5,5,1
2020-12-06,183.55559208867137,2020,12,6,6,1
2020-12-07,204.87374422983825,2020,12,7,0,0
2020-12-08,204.89933142217444,2020,12,8,1,0
2020-12-09,189.8611364925774,2020,12,9,2,0
2020-12-10,190.57923388763354,2020,12,10,3,0
2020-12-11,204.64099874715274,2020,12,11,4,0
2020-12-12,171.03831317005353,2020,12,12,5,1
2020-12-13,171.8507245124689,2020,12,13,6,1
2020-12-14,185.63111557495128,2020,12,14,0,0
2020-12-15,195.73105696576306,2020,12,15,1,0
2020-12-16,206.2181513119601,2020,12,16,2,0
2020-12-17,229.50712433899105,2020,12,17,3,0
2020-12-18,217.1531924640404,2020,12,18,4,0
2020-12-19,196.80122940073147,2020,12,19,5,1
2020-12-20,199.61967584194622,2020,12,20,6,1
2020-12-21,179.94941270724382,2020,12,21,0,0
2020-12-22,199.6297372801522,2020,12,22,1,0
2020-12-23,194.22682722159723,2020,12,23,2,0
2020-12-24,206.45437120676178,2020,12,24,3,0
2020-12-25,183.45538112895355,2020,12,25,4,0
2020-12-26,210.38693028482345,2020,12,26,5,1
2020-12-27,230.65477826005156,2020,12,27,6,1
